comment,label,repeat words,comment after merge(close)?,same with last comment?,author reply interval(project),author reply interval(PR),declare reviewer's comment?
"Ah, seems I was a bit to quick earlier. I added one more inline comment.",1,4,0,0,8,2,0
👍,1,0,0,0,23,4,0
LGTM,1,0,1,0,17,3,0
"Parser is changing, unable to write the document for the time being,",1,1,0,0,2,5,0
100 limitation.,1,3,0,0,12,3,0
May I ask when this pr can be merged into the master branch?,1,1,0,0,9,4,0
LGTM,1,0,1,0,20,4,0
"Thank you, LGTM.",1,0,0,0,5,5,0
@mkouba Thanks!,1,0,1,0,19,1,0
Otherwise looks good.,1,1,1,0,20,4,0
test this please,1,0,0,0,4,4,0
"I think (2) can be done easier if the operator creation code goes into something more generic, but that is not that urgent.",1,1,1,0,23,4,0
"👍 to this anyhow. More readable. It highlights how annoying marker/mixin interfaces can be, though. If we already had the annotation-driven machinery for CombineFn I would suggest using it. But since we don't have it yet, I think this is fine.",1,0,0,0,20,5,0
 LGTM,1,0,1,0,7,2,0
"It's fine as-is, but Jesse should merge when he thinks it's ready",1,0,1,0,5,1,1
"Yeah, I would hold on this one because the HTTP support is in flux right now.
Let's wait for things to settle as there's a good chance we won't have undertow for simple REST services. At least, that would be an option.",1,0,1,0,19,1,0
Thanks,1,0,1,0,21,5,0
Merging this…,1,0,0,0,21,1,0
"Modulo fixing the style for some of the descriptions, this looks good to me.",1,0,1,0,16,4,0
"Minor comments and then LGTM
I like the usage of the static inner class to keep the code close together but with a defined boundary.",1,0,1,0,20,2,0
" @dguy, thanks. Btw, you can simply edit the PR title and/or description in the future instead of creating a new one.",1,0,0,0,23,5,0
"So the requirement is basically to be able to restrict access to clients based on some roles right? If so that is something that we have wanted to add for a while. We have a few ideas here:
Require at least one client role
Require a specific realm role
Use authorization services to make it really flexible
As we don't have that today I understand the need to work around this limitation, but would rather see a more direct feature added to Keycloak around this than some requiring using some custom authenticator and conditions.",1,0,1,0,9,4,0
"That is fine, no worries!",1,0,1,0,9,2,0
LGTM.,1,0,1,0,10,3,0
Thanks!,1,0,1,0,7,3,0
I'm going to close this due to inactivity. Note that this change will require a KIP since it affects the public metrics API: https://cwiki.apache.org/confluence/display/KAFKA/Kafka+Improvement+Proposals. Please reopen if you have time to submit a proposal for this change.,1,0,0,0,8,3,0
"Something funky happened in the pipeline, the migration tests were not executed and some of the db tests didn't run as well. I've triggered a rebuild to see how it goes.",1,1,0,0,15,3,0
"Jenkins, add to whitelist and test this please.",1,0,1,0,17,5,0
" @zhuoan Hi, any update?",1,0,0,0,20,3,0
LGTM,1,0,0,0,8,2,0
LGTM. Thanks.,1,0,1,0,5,4,0
LGTM,1,0,0,0,2,4,0
 👍,1,0,0,0,4,2,0
As we had seen earlier in #5 : this test-case was keep failing because travis was picking up wrong commit. Closing this issue for now as we haven't seen this failure after that.,1,4,1,0,4,1,0
"I'll just merge this with a comment saying ""Eclipse compiler requires this"". Would be nice to run both compilers in the CI.",1,1,1,0,20,3,0
Thanks!,1,0,0,0,19,1,0
"alluxio-bot, merge this please",1,0,1,0,5,2,0
"One nit, otherwise LGTM.",1,0,0,0,3,1,0
I just close this PR.,1,1,1,0,13,4,0
LGTM,1,0,0,0,18,5,0
"Jenkins, add to whitelist and test this please.",1,0,0,0,24,3,0
@apovzner Thanks for the updates. LGTM,1,2,0,0,2,1,0
👍,1,0,1,0,14,5,0
LGTM,1,0,0,0,22,1,0
"Merged, thanks!",1,0,1,0,11,4,0
looks good,1,0,0,0,3,1,0
LGTM,1,0,1,0,19,3,0
Add to whitelist.,1,1,1,0,8,2,0
"alluxio-bot, check this please.",1,0,1,0,6,1,0
Thanks!,1,0,1,0,4,2,0
Thanks!,1,0,0,0,1,2,0
 @slaskawi thank you for the update. One last comment:,1,3,0,0,20,5,0
👍,1,0,0,0,12,5,0
Looks ready to be merged after the tests pass.,1,0,1,0,14,2,0
"From my point of view, the PR is fine as is.But I did not review the code for the javascript/typescript part. Just the REST endpoint draft and the UI screenshot. Leaving that to you guys..",1,1,1,0,3,1,0
"Looks good, thanks!",1,0,0,0,4,3,0
I added one comment and a question.,1,1,0,0,1,3,0
Why Skaffold? Shouldn't we offer an integral solution? Now that we have Jib support maybe the guide should be updated to use Jib? At least let's offer a single way of doing things to not confuse the users.,1,1,1,0,14,5,0
Will merge this...,1,0,0,0,15,3,0
"OK, I'll have a look and push changes into your PR",1,0,0,1,5,2,0
LGTM,1,0,1,0,16,5,0
 @velias LGTM. A single initial comment. Should be looking it more closely now.,1,1,1,0,5,5,0
Okay. Thanks!,1,1,1,0,10,2,0
Thanks Hobin!,1,0,0,0,1,3,0
Thanks I will merge it later today! :),1,0,1,0,10,1,0
"I fixed the merge conflicts and minor style issues and ran the system tests again:
https://jenkins.confluent.io/job/system-test-kafka-branch-builder-2/184/console
They passed, so LGTM. Merged to trunk and 0.10.2 branches.",1,1,0,0,2,5,0
Looks good to me 👍,1,0,1,0,4,5,0
"LGTM, thanks for the PR.",1,0,0,1,4,1,0
Thanks.,1,0,0,0,7,5,0
Closing in favor of #11784,1,2,1,0,15,5,0
Merging,1,0,0,0,18,4,0
" @granthenke, it's a good point to mention that PR. Note, however, that we don't have error codes in every response type, so the behaviour will not be uniform, unfortunately (in some cases, the best we can do is disconnect).",1,0,1,1,6,3,0
 LGTM,1,0,1,0,17,4,0
"Hi nice job, @Liangda-w",1,0,0,0,24,2,0
LGTM,1,0,1,0,17,4,0
"It is rather work-hard coding and reviewing from the thread of comments.
Reviewing carefully @kimmking and polishing with patience @yu199195 made this PR so great. 👍",1,0,0,0,18,5,0
"
I fixed the merge conflicts and minor style issues and ran the system tests again:
https://jenkins.confluent.io/job/system-test-kafka-branch-builder-2/184/console
They passed, so LGTM. Merged to trunk and 0.10.2 branches.",1,2,0,0,13,3,1
"LGTM, merging",1,0,1,0,2,4,0
retest this please,1,0,1,0,11,5,0
"LGTM, minor nits.",1,0,1,0,13,4,0
"Jenkins, test this please.",1,0,1,0,12,3,1
apply to three lines above in this file,1,2,1,0,19,1,1
"No, because during rollover we're waiting for all pending writes to complete before going to next ledger.",1,1,0,0,15,5,1
Merged this. I will commit several minor fixes.,1,0,1,0,16,5,0
"I see. Well I don't have any strong argument there, I just think that it would be worth adding as almost each entity we have is related to exactly one realm. But I agree with you, the code is more comprehensible this way, so we can leave it as is.",1,1,0,0,7,1,0
Thank you @shghatge! I'll merge this :),1,0,0,0,14,3,0
Merging. Feel free to add tests after the branch cutting - tests don't add risk by definition :),1,0,0,0,23,2,0
"@zhuoan The progress of this PR has not been upgraded for a long time. If there is no update, I will close it soon.",1,2,1,0,9,5,1
These should not be manually updated. Instead we need to fix it so that migration can be re-added to servers pom. At the moment that's not possible as it breaks release (mvn clean install -Pjboss-release).,1,0,1,0,3,1,0
@keycloak-ci-bot test,1,0,1,0,10,4,0
How about just a top level interface Named with getName() a la HasDisplayData?,1,1,1,0,2,1,0
"OKay, for case 1) I think it is okay to not exposing such APIs, and as long as that is not exposed users will not get surprises using it. Thanks for the clarifying. LGTM.",1,1,0,0,2,3,0
Thanks for fixing this.,1,0,1,1,20,2,0
"Change the Milestone to 2.4.2, because of conflict.",1,3,0,0,11,2,1
"If we squash all the commits, then this is fine, but it is actually a little unfortunate - little tweaks like this need not be lost if one piece gets rolled back. It doesn't actually have so much to do with the particular change in this commit.Since you've indicated squashing, it is fine, but if you were in the mood for some git fun, I'd say re-split the commits into un-squashed changes.",1,1,0,0,13,5,0
"Generally speaking I'd suggest not having a single PR involved with multiple fixes, since it will make reviewing much harder. But since KAFKA-4369 will not be fixed this may be OK. Could you add a TODO at the beginning to make it more visible?",1,3,0,0,11,2,0
" +1
LGTM",1,0,1,0,17,3,0
 @keycloak-ci-bot test,1,0,0,0,10,1,0
"LGTM, thanks for improving the code style checker",1,0,1,0,21,1,0
"Jenkins, test this please.",1,0,1,1,16,1,1
"ok, I have no objections to make it public. Thanks for the explanation ;)",1,0,1,0,22,1,0
"Jenkins, test this please.",1,0,1,0,13,2,0
"LGTM, thanks!
The test failures are unrelated to this.",1,0,0,0,8,4,0
"Jenkins, test this please.",1,0,0,1,22,4,0
 +1 for merging,1,0,1,0,7,3,0
"To avoid merge conflict, you probably want to wait for #328 to get in first.",1,0,0,0,22,5,0
LGTM,1,0,0,0,19,1,0
 @ijuma: Makes sense. I agree.,1,2,1,0,15,1,0
 @Victor-Philipp-Negoescu Thanks.,1,0,1,0,24,4,0
 +1 - I will get this checked-in with minor follow-up edits to comments.,1,0,1,0,6,4,0
Merged to trunk (for release version 0.11.0.0).,1,0,0,0,15,4,1
"I found that IntelliJ warns that ""Explicit type arguments can be inferred"" and thus we need to suppress it:
@hgschmie can you file an issue with Eclipse?",1,0,1,0,19,1,1
LGTM,1,0,1,0,18,1,0
"Closing as it's already out of date. Migration module needs to be re-added to servers, but that needs fixing first. See https://issues.jboss.org/browse/KEYCLOAK-2440",1,4,1,0,7,4,0
looks good to me 👍,1,0,1,0,9,2,0
"To avoid merge conflict, you probably want to wait for #328 to get in first.",1,0,1,0,6,1,0
"Not a big deal, but for future reference doing something like if self.security_protocol in [SecurityConfig.SASL_PLAINTEXT, SecurityConfig.SASL_SSL, SecurityConfig.SASL_MECHANISM_GSSAPI, SecurityConfig.SASL_MECHANISM_PLAIN] is a more concise way to express conditions like this. In fact, it might be valuable to add those collections to SecurityConfig since it would allow for simple tests that look something like if self.security_protocol in SecurityConfig.SASL_MECHANISMS.",1,0,0,0,15,4,0
LGTM,1,0,1,0,16,1,0
I'm really happy with these changes. It reads much more cleanly and clears up several ambiguities.,1,1,1,1,20,1,0
I did and it works like a charm!,1,0,1,0,20,5,0
Thanks!,1,0,0,0,24,2,0
"Aha! I never saw that one, thanks",1,4,1,0,21,2,1
"Is this only used to analyze presto's ""http-request.log""?",1,1,0,0,15,1,0
Nice clean up. Just minor stuff.,1,0,0,0,21,4,1
"Hi since there is no progress, I have to close it.",1,1,0,0,15,4,0
No response. Closing. @lordofthejars please reopen if this is still an issue.,1,1,1,0,18,5,0
Thanks for starting the efforts on OSS integration and look forward to the implementation!,1,0,0,0,2,2,1
"Yeah, LGTM",1,0,0,0,19,5,0
👍,1,0,1,1,8,2,0
LGTM. Thanks for the contribution!,1,0,1,0,14,3,0
Merged to trunk.,1,0,0,0,17,4,0
👍,1,0,0,0,10,5,0
Thanks @ahus1 . I'll take a look,1,0,1,0,3,2,0
"Jenkins, test this please.",1,0,1,0,7,1,0
@slaskawi Thanks for the PR!,1,1,0,0,18,5,1
@999eagle Thanks for the test! I've added few very minor comments to it.,1,4,1,0,5,4,0
LGTM,1,0,0,0,9,5,0
retest this please,1,0,1,0,2,3,0
great pr,1,0,0,0,16,2,1
Looks good to me. +1,1,0,0,0,13,1,0
"Looks good to me
+1",1,0,1,0,21,2,0
LGTM. Thanks for the improvement!,1,0,1,0,8,3,0
Closing this. Solution will be based on discussions here: https://tachyon.atlassian.net/browse/TACHYON-8,1,2,0,0,19,4,0
LGTM Thank you.,1,0,0,0,15,1,0
"Modulo fixing the style for some of the descriptions, this looks good to me.",1,0,1,0,20,2,0
"LGTM, thanks for the PR.",1,0,1,0,10,4,0
"LGTM. Thanks Ismael, this is much clearer.",1,0,0,0,22,5,0
AFAIK build items should be immutable. What's the reason to make these fields mutable?,1,4,1,0,15,2,0
👍,1,0,0,0,1,5,0
Cool @totalo @strongduanmu Good contribution review.,1,3,0,0,15,2,0
Thanks!,1,0,0,0,11,4,0
Fixed in #492. Running the c++ build and tests in script sections after java maven build.,1,0,0,0,9,3,0
" @pedroigor Agree, I created an issue and I will start working on it tomorrow.",1,1,0,0,8,2,0
I guess the only request that was not fulfilled for this PR was to squash the commits. Then it should be fine.,1,1,1,0,13,1,0
+1 LGTM,1,0,0,0,20,1,0
"Scrolled over the changes, didn't spot anything suspicious",1,0,0,0,8,3,0
Looks good,1,0,1,0,3,2,0
" @cainj13 looking at this again. Can you elaborate a bit on what you are trying to achieve? You say disable a flow completely, but those are not effective unless they are bound to something. Or do you mean you want to for instance disable ""Direct Grant Flow""?",1,4,0,0,21,2,0
@sslavic Sorry for the late reply! And thanks for the pointers. LGTM.,1,3,1,0,13,3,0
Thanks!,1,0,1,0,23,4,0
LGTM. : ) good idea.,1,0,0,0,21,3,0
"Merged, thanks!",1,0,0,0,4,1,0
Thanks for the patch. LGTM,1,0,1,0,22,2,0
Sounds good to me.,1,1,1,0,6,4,0
I tend to prefer Recorder as it shows to the user the intent / end result.,1,1,1,0,10,4,0
@keycloak-ci-bot test,1,0,0,1,7,3,1
LGTM,1,0,0,0,2,3,0
Sounds good to me.,1,1,1,0,10,4,0
@mkouba It works like a charm :) All my test cases are passing now!,1,3,0,0,20,3,0
"Would be nice if this can override the file, but if not defined get ""tachyon.conf"" from classpath",1,0,1,0,8,4,0
 👍,1,0,1,0,2,5,0
"Travis build is now able to upload the binary into release. (verified in 1.17.5) so, closing the issue.",1,1,1,0,9,3,0
"Good catch, and thanks for the patch @xiaotao183 . LGTM and merged to trunk and 0.9.0.",1,0,1,1,2,1,0
" @SinghAsDev I think that works! I wasn't sure if we needed to handle errors in the MetadataResponse itself, but it looks like the topics are only added to the Cluster if they had no error in the response.",1,1,1,0,4,5,1
I think it's reasonable. I was wondering whether we still need LocalProject in this Mojo. Looks like we could iterate over project.getArtifacts() to get its deps?,1,1,0,0,13,3,0
"Merged, thanks!",1,0,1,0,4,1,0
"Jenkins, add to whitelist and test this please.",1,0,1,0,4,4,0
"alluxio-bot, merge this please",1,0,1,0,7,3,0
See comment about doc,1,1,0,0,14,5,0
 +1 LGTM,1,0,0,0,24,4,0
LGTM,1,0,1,0,4,2,0
LGTM. Thanks for the fix!,1,0,1,0,19,3,0
"Jenkins, test this please.",1,0,1,0,3,3,0
👍,1,0,1,0,4,3,0
Looks good,1,0,1,0,17,1,0
Okay. Thanks!,1,0,0,1,19,5,0
" @luoli523
Thanks for working on this integration.
I'm reverting this patch since the feature is incomplete and relatively large. Could you reopen the changes to this WIP branch: https://github.com/amplab/tachyon/tree/oss. You will just need to change the branch when you open the PR from master to oss. When the integration is complete, we can merge the oss branch to master.",1,3,1,0,19,5,0
+1 LGTM,1,0,0,0,4,5,0
" @maxbes +1. I don't think we are going to break people currently using the client policy as it stands today. By having a default to false we keep current behavior while still allowing people to set the new option if they want to. In this case, the behavior will change as expected ...
Sorry for the late reply.",1,3,0,0,12,4,0
Good point.,1,0,1,0,13,4,0
Closing this. Solution will be based on discussions here: https://tachyon.atlassian.net/browse/TACHYON-8,1,0,0,0,5,5,0
"I didn't try building and running product with this change. But assuming you did that, the code looks good and I approve.",1,1,0,0,24,5,0
Thanks!,1,0,1,0,9,5,0
Less some minor changes looks basically good on my end; I'll let Dan do the final approval.,1,0,1,0,21,1,0
LGTM,1,0,0,0,2,3,0
Thanks!,1,0,1,0,18,3,0
+1 LGTM,1,0,1,0,22,2,0
Thanks!,1,0,0,0,16,5,0
Thanks for starting the efforts on OSS integration and look forward to the implementation!,1,0,0,0,8,2,0
"alluxio-bot, merge this please",1,0,1,0,24,2,0
LGTM,1,0,1,0,11,2,0
" @dguy, thanks. Btw, you can simply edit the PR title and/or description in the future instead of creating a new one.",1,3,1,0,24,5,0
looks well,1,0,0,0,5,5,0
"LGTM. I know you filed the ducktape test as a separate subtask, but in the future if you want to roll the system test update into the same patch, it's actually easier to review together for relatively small patches like this since the system test itself is the best validation of the original patch.",1,0,0,0,12,4,0
Nice work!,1,0,0,0,23,4,0
LGTM. Feel free to merge.,1,0,1,0,1,3,0
"FWIW, I built it locally and run the tests like you mention and didn't see any failures.",1,3,1,0,21,2,0
"Sure yeah.
Thanks for your work and for bringing this up @glefloch",1,1,0,0,12,2,0
 👍,1,0,1,0,15,1,0
"Solution to that issue is probably more in terms of clean-up of the modules, as well as update the build instructions.
I've honestly not done a mvn clean install from the root for years due to the time it takes. So, could be better to not include the testsuite by default, and make that an explicit thing that needs to be built/ran separately.",1,0,0,0,12,2,0
"Hi @marko-lazic thanks for reporting this.
This seems like a duplicate of #6346. Can you +1 or comment on the issue to attract attention? thanks.
I am closing this in favour of it.",1,1,0,0,6,3,0
@keycloak-ci-bot test,1,0,0,0,1,4,0
" +1 LGTM, thanks for the improvement",1,0,1,0,12,2,0
ah okay than i will remain silent :)!,1,0,0,0,19,3,0
"Looks good, btw.",1,0,1,0,3,5,0
test this,1,0,1,1,4,4,0
Thanks for your contribution. I've merged your PR. You can close it now.,1,0,1,0,9,2,0
"Very nice, thank you!",1,0,1,1,11,2,0
Thats' fine :) Thanks for the fast response!,1,0,0,0,6,1,0
minor thing. but looks good to me.,1,0,0,0,19,3,0
👍,1,0,0,0,15,4,0
" @captainzmc Thanks for your contribution!
LGTM",1,4,0,0,24,1,0
Merging. Feel free to add tests after the branch cutting - tests don't add risk by definition :),1,0,0,0,2,1,0
Looks good overall. Would be good to add a test case,1,0,1,0,9,3,0
LGTM,1,0,0,0,4,2,0
Looks really good. Just two minor comments.,1,0,1,0,1,2,0
Thanks!,1,0,0,0,20,2,0
 @rajinisivaram : Thanks for the patch. LGTM,1,2,0,0,16,4,0
LGTM,1,0,0,0,2,5,0
 👍,1,0,1,0,7,4,0
Ouch,1,1,1,0,4,1,1
"Cool, LGTM +1",1,4,1,0,20,5,0
LGTM,1,0,1,0,15,1,1
LGTM,1,0,0,0,10,4,0
"👍
I just added related change in commit of existing PR : #270",1,0,0,0,17,5,0
I thinks this is fixed. Can you confirm @lordofthejars ?,1,0,0,0,5,3,0
"Change looks good, thanks for going after all test cases. Just one very minor comment",1,2,0,0,14,5,0
Confirmed. Thanks.,1,2,0,0,23,1,0
"Jenkins, add to whitelist and test this please.",1,0,1,0,17,3,0
Description of the project's core developer(Make an explanation and close the PR),1,4,0,0,14,5,0
@apovzner Thanks for the updates. LGTM,1,0,1,0,15,4,0
"This looks very good now! 👍
I'm running it a last time on Travis and them I'm merging.",1,1,0,0,20,1,0
" +1 LGTM, thanks for the improvement",1,0,1,0,17,3,0
LGTM.,1,0,1,0,23,5,0
"Jenkins, test this please.",1,0,1,0,11,2,0
"LGTM, merged to trunk and 0.9.0.",1,0,1,0,2,5,0
LGTM.,1,0,1,0,21,5,0
Hibernate 5.3.24 is already productized internally and pipeline db_tests and db_migration_tests results are clean. Approving!,1,1,1,0,20,4,0
I think this was introduced recently with the artificial delay in the reassignment to a new consumer. I would say that the null check should probably be done at line 105 (though effectively it's the same result),1,1,1,0,20,5,0
Also picked to 0.9.0 branch.,1,1,1,0,3,1,0
Thanks Hobin!,1,0,1,0,10,4,0
Thanks!,1,0,0,0,3,3,1
Pipeline run: https://keycloak-jenkins.com/job/universal-test-pipeline-server/1351,1,1,0,0,12,2,0
👍,1,0,0,0,6,5,0
Merged to trunk.,1,0,0,0,14,4,1
Thanks for the patch. LGTM,1,0,0,0,8,3,0
I will make a new build locally (with a rebase). I'm also triggering a new build on Jenkins.,1,1,0,0,5,3,0
"essentially LGTM, minor comments.
If you're happy with the validation improvements, go ahead and self-merge. If you want me to TAL, let me know.",1,4,1,0,3,5,1
 @alechenninger Thanks,1,4,1,0,6,1,0
